company_name,job_position,company_certified,location_certified,user_feedback_score,scam_reports,is_fake,job_description,company_website
Twitter,Network Engineer,0,1,1.94,22,1,"**Position:** Network Engineer
**Company:** Twitter

**Job Description:**
We are seeking a Network Engineer to join our team at Twitter. This role involves performing tasks and responsibilities typical for this position.

Twitter is not a certified company. The job location is certified. The position has a user feedback score of 1.94, and 22 scam report(s) have been associated with it. Applicants are advised to proceed with caution if any red flags arise.",https://twitter.com
Tesla,IT Support,1,0,2.84,49,1,"**Position:** IT Support
**Company:** Tesla

**Job Description:**
We are seeking a IT Support to join our team at Tesla. This role involves performing tasks and responsibilities typical for this position.

Tesla is a certified company. The job location is not certified. The position has a user feedback score of 2.84, and 49 scam report(s) have been associated with it. Applicants are advised to proceed with caution if any red flags arise.",https://www.tesla.com
General Electric,Sales Representative,0,0,2.61,38,1,"**Position:** Sales Representative
**Company:** General Electric

**Job Description:**
We are seeking a Sales Representative to join our team at General Electric. This role involves performing tasks and responsibilities typical for this position.

General Electric is not a certified company. The job location is not certified. The position has a user feedback score of 2.61, and 38 scam report(s) have been associated with it. Applicants are advised to proceed with caution if any red flags arise.",https://www.ge.com
Tesla,UX Designer,1,1,4.36,37,1,"**Position:** UX Designer
**Company:** Tesla

**Job Description:**
We are seeking a UX Designer to join our team at Tesla. This role involves performing tasks and responsibilities typical for this position.

Tesla is a certified company. The job location is certified. The position has a user feedback score of 4.36, and 37 scam report(s) have been associated with it. Applicants are advised to proceed with caution if any red flags arise.",https://www.tesla.com
Dell,Customer Service,0,1,2.79,19,0,"**Position:** Customer Service
**Company:** Dell

**Job Description:**
We are seeking a Customer Service to join our team at Dell. This role involves performing tasks and responsibilities typical for this position.

Dell is not a certified company. The job location is certified. The position has a user feedback score of 2.79, and 19 scam report(s) have been associated with it. Applicants are advised to proceed with caution if any red flags arise.",https://www.dell.com
LG,Product Manager,1,0,3.65,38,1,"**Position:** Product Manager
**Company:** LG

**Job Description:**
We are seeking a Product Manager to join our team at LG. This role involves performing tasks and responsibilities typical for this position.

LG is a certified company. The job location is not certified. The position has a user feedback score of 3.65, and 38 scam report(s) have been associated with it. Applicants are advised to proceed with caution if any red flags arise.",Not available
Nokia,UX Designer,0,0,1.56,32,1,"**Position:** UX Designer
**Company:** Nokia

**Job Description:**
We are seeking a UX Designer to join our team at Nokia. This role involves performing tasks and responsibilities typical for this position.

Nokia is not a certified company. The job location is not certified. The position has a user feedback score of 1.56, and 32 scam report(s) have been associated with it. Applicants are advised to proceed with caution if any red flags arise.",Not available
Spotify,Data Scientist,1,0,4.78,47,1,"**Position:** Data Scientist
**Company:** Spotify

**Job Description:**
We are seeking a Data Scientist to join our team at Spotify. This role involves performing tasks and responsibilities typical for this position.

Spotify is a certified company. The job location is not certified. The position has a user feedback score of 4.78, and 47 scam report(s) have been associated with it. Applicants are advised to proceed with caution if any red flags arise.",Not available
HP,Sales Representative,0,0,2.1,24,1,"**Position:** Sales Representative
**Company:** HP

**Job Description:**
We are seeking a Sales Representative to join our team at HP. This role involves performing tasks and responsibilities typical for this position.

HP is not a certified company. The job location is not certified. The position has a user feedback score of 2.10, and 24 scam report(s) have been associated with it. Applicants are advised to proceed with caution if any red flags arise.",Not available
HP,AI Engineer,0,1,4.83,2,0,"**Position:** AI Engineer
**Company:** HP

**Job Description:**
We are seeking a AI Engineer to join our team at HP. This role involves performing tasks and responsibilities typical for this position.

HP is not a certified company. The job location is certified. The position has a user feedback score of 4.83, and 2 scam report(s) have been associated with it. Applicants are advised to proceed with caution if any red flags arise.",Not available
Zoom,IT Support,0,0,1.95,40,1,"**Position:** IT Support
**Company:** Zoom

**Job Description:**
We are seeking a IT Support to join our team at Zoom. This role involves performing tasks and responsibilities typical for this position.

Zoom is not a certified company. The job location is not certified. The position has a user feedback score of 1.95, and 40 scam report(s) have been associated with it. Applicants are advised to proceed with caution if any red flags arise.",Not available
Sony,Operations Manager,0,0,4.43,33,1,"**Position:** Operations Manager
**Company:** Sony

**Job Description:**
We are seeking a Operations Manager to join our team at Sony. This role involves performing tasks and responsibilities typical for this position.

Sony is not a certified company. The job location is not certified. The position has a user feedback score of 4.43, and 33 scam report(s) have been associated with it. Applicants are advised to proceed with caution if any red flags arise.",Not available
Tesla,Graphic Designer,1,0,1.57,16,0,"**Position:** Graphic Designer
**Company:** Tesla

**Job Description:**
We are seeking a Graphic Designer to join our team at Tesla. This role involves performing tasks and responsibilities typical for this position.

Tesla is a certified company. The job location is not certified. The position has a user feedback score of 1.57, and 16 scam report(s) have been associated with it. Applicants are advised to proceed with caution if any red flags arise.",https://www.tesla.com
Cisco,Cybersecurity Analyst,1,1,3.24,31,1,"**Position:** Cybersecurity Analyst
**Company:** Cisco

**Job Description:**
We are seeking a Cybersecurity Analyst to join our team at Cisco. This role involves performing tasks and responsibilities typical for this position.

Cisco is a certified company. The job location is certified. The position has a user feedback score of 3.24, and 31 scam report(s) have been associated with it. Applicants are advised to proceed with caution if any red flags arise.",Not available
Intel,DevOps Engineer,0,0,4.58,5,1,"**Position:** DevOps Engineer
**Company:** Intel

**Job Description:**
We are seeking a DevOps Engineer to join our team at Intel. This role involves performing tasks and responsibilities typical for this position.

Intel is not a certified company. The job location is not certified. The position has a user feedback score of 4.58, and 5 scam report(s) have been associated with it. Applicants are advised to proceed with caution if any red flags arise.",https://www.intel.com
Twitter,HR Specialist,1,0,2.39,26,1,"**Position:** HR Specialist
**Company:** Twitter

**Job Description:**
We are seeking a HR Specialist to join our team at Twitter. This role involves performing tasks and responsibilities typical for this position.

Twitter is a certified company. The job location is not certified. The position has a user feedback score of 2.39, and 26 scam report(s) have been associated with it. Applicants are advised to proceed with caution if any red flags arise.",https://twitter.com
Google,IT Support,1,1,2.74,20,0,"**Position:** IT Support
**Company:** Google

**Job Description:**
We are seeking a IT Support to join our team at Google. This role involves performing tasks and responsibilities typical for this position.

Google is a certified company. The job location is certified. The position has a user feedback score of 2.74, and 20 scam report(s) have been associated with it. Applicants are advised to proceed with caution if any red flags arise.",https://www.google.com
Twitter,UX Designer,1,1,1.59,49,1,"**Position:** UX Designer
**Company:** Twitter

**Job Description:**
We are seeking a UX Designer to join our team at Twitter. This role involves performing tasks and responsibilities typical for this position.

Twitter is a certified company. The job location is certified. The position has a user feedback score of 1.59, and 49 scam report(s) have been associated with it. Applicants are advised to proceed with caution if any red flags arise.",https://twitter.com
PayPal,Technical Writer,0,1,1.27,28,1,"**Position:** Technical Writer
**Company:** PayPal

**Job Description:**
We are seeking a Technical Writer to join our team at PayPal. This role involves performing tasks and responsibilities typical for this position.

PayPal is not a certified company. The job location is certified. The position has a user feedback score of 1.27, and 28 scam report(s) have been associated with it. Applicants are advised to proceed with caution if any red flags arise.",Not available
Amazon,Software Engineer,1,1,2.08,32,1,"**Position:** Software Engineer
**Company:** Amazon

**Job Description:**
We are seeking a Software Engineer to join our team at Amazon. This role involves performing tasks and responsibilities typical for this position.

Amazon is a certified company. The job location is certified. The position has a user feedback score of 2.08, and 32 scam report(s) have been associated with it. Applicants are advised to proceed with caution if any red flags arise.",https://www.amazon.com
Baidu,Legal Consultant,1,0,2.75,17,0,"**Position:** Legal Consultant
**Company:** Baidu

**Job Description:**
We are seeking a Legal Consultant to join our team at Baidu. This role involves performing tasks and responsibilities typical for this position.

Baidu is a certified company. The job location is not certified. The position has a user feedback score of 2.75, and 17 scam report(s) have been associated with it. Applicants are advised to proceed with caution if any red flags arise.",Not available
Qualcomm,Finance Analyst,0,0,2.13,4,1,"**Position:** Finance Analyst
**Company:** Qualcomm

**Job Description:**
We are seeking a Finance Analyst to join our team at Qualcomm. This role involves performing tasks and responsibilities typical for this position.

Qualcomm is not a certified company. The job location is not certified. The position has a user feedback score of 2.13, and 4 scam report(s) have been associated with it. Applicants are advised to proceed with caution if any red flags arise.",Not available
Capgemini,DevOps Engineer,0,0,3.17,8,1,"**Position:** DevOps Engineer
**Company:** Capgemini

**Job Description:**
We are seeking a DevOps Engineer to join our team at Capgemini. This role involves performing tasks and responsibilities typical for this position.

Capgemini is not a certified company. The job location is not certified. The position has a user feedback score of 3.17, and 8 scam report(s) have been associated with it. Applicants are advised to proceed with caution if any red flags arise.",Not available
Twitter,Network Engineer,0,0,2.18,5,1,"**Position:** Network Engineer
**Company:** Twitter

**Job Description:**
We are seeking a Network Engineer to join our team at Twitter. This role involves performing tasks and responsibilities typical for this position.

Twitter is not a certified company. The job location is not certified. The position has a user feedback score of 2.18, and 5 scam report(s) have been associated with it. Applicants are advised to proceed with caution if any red flags arise.",https://twitter.com
Cognizant,Cybersecurity Analyst,0,1,3.89,31,1,"**Position:** Cybersecurity Analyst
**Company:** Cognizant

**Job Description:**
We are seeking a Cybersecurity Analyst to join our team at Cognizant. This role involves performing tasks and responsibilities typical for this position.

Cognizant is not a certified company. The job location is certified. The position has a user feedback score of 3.89, and 31 scam report(s) have been associated with it. Applicants are advised to proceed with caution if any red flags arise.",Not available
JD.com,Cloud Architect,0,1,3.87,32,1,"**Position:** Cloud Architect
**Company:** JD.com

**Job Description:**
We are seeking a Cloud Architect to join our team at JD.com. This role involves performing tasks and responsibilities typical for this position.

JD.com is not a certified company. The job location is certified. The position has a user feedback score of 3.87, and 32 scam report(s) have been associated with it. Applicants are advised to proceed with caution if any red flags arise.",Not available
